name,memory_percent,cpu_percent,pid
BoschDevNodeCleanService.exe,0.010999572857996725,0.0,4896
NisSrv.exe,0.08862651434923353,0.0,4936
conhost.exe,0.010442325774882355,0.0,4976
svchost.exe,0.19208064673611902,0.0,4988
chrome.exe,0.35903671846399443,0.0,4996
esif_uf.exe,0.012962051715921253,0.0,5036
Dell.TechHub.Instrumentation.UserProcess.exe,0.4099157999657414,0.2,5044
IntelAudioService.exe,0.03176308373751918,0.0,5048
OneApp.IGCC.WinService.exe,0.05146055671890979,0.0,5104
servicehost.exe,0.14003861480004642,0.0,5116
vmware-usbarbitrator64.exe,0.02362243069723966,0.0,5156
RtkAudUService64.exe,0.032853349769699475,0.0,5168
SmartByteAnalyticsService.exe,0.010200044434397846,0.0,5248
RstMwService.exe,0.011484135538965745,0.0,5288
sqlwriter.exe,0.09058899320715806,0.0,5320
svchost.exe,0.025512225153018837,0.0,5332
svchost.exe,0.20417048562629603,0.0,5340
SmartByteNetworkService.exe,0.34198011209388496,0.8,5348
TeamViewer_Service.exe,0.04126051228451195,0.3,5372
svchost.exe,0.00879481265958769,0.0,5392
svchost.exe,0.2339710905058907,18.2,5400
svchost.exe,0.023767799501530372,0.0,5416
vmnat.exe,0.0168385531636734,0.3,5468
vmnetdhcp.exe,0.010878432187754472,0.0,5476
WMIC.exe,0.10037715936273223,0.0,5612
WavesAudioService.exe,0.022241427056477962,0.0,5628
PresentationFontCache.exe,0.026481350514956873,0.0,5744
MsMpEng.exe,2.712727256868858,63.9,5772
WMIRegistrationService.exe,0.015578690193153954,0.0,5884
svchost.exe,0.08809349540016762,0.0,5908
svchost.exe,0.01393117707785929,0.0,5924
wslservice.exe,0.052114716338217966,0.0,5932
svchost.exe,0.16116554769029565,0.0,5940
chrome.exe,0.8321394920280958,0.0,6024
svchost.exe,0.10444748588287198,0.0,6152
Arduino_Cloud_Agent.exe,0.05015223748029344,0.0,6188
svchost.exe,0.05039451882077795,0.0,6244
vmware-authd.exe,0.016232849812462126,0.0,6252
svchost.exe,0.027038597598071246,0.0,6264
svchost.exe,0.10505318923408327,0.0,6476
svchost.exe,0.01860720694921032,0.0,6772
RAPSService.exe,0.024421959120838548,0.0,7292
uihost.exe,0.1665684215831002,0.0,7320
RAPS.exe,0.053689545051367284,0.0,7604
WmiPrvSE.exe,0.32346981768086847,346.9,7616
conhost.exe,0.012186751426370821,0.0,7636
crashpad_handler.exe,0.010781519651560666,0.0,7800
WMIC.exe,0.1021700412823176,0.0,7924
svchost.exe,0.14723437061243635,0.0,7928
sihost.exe,0.16213467305223367,0.0,7980
conhost.exe,0.04496741679392494,0.0,7984
RtkAudUService64.exe,0.01211406702422547,0.0,8012
Dell.TechHub.DataManager.SubAgent.exe,0.5043812946206516,0.0,8076
AggregatorHost.exe,0.06478603044555781,0.0,8152
svchost.exe,0.10510164550218015,0.0,8180
Rave.exe,0.1589123312237897,0.0,8188
conhost.exe,0.045064329330118745,0.0,8196
svchost.exe,0.09955340280508491,0.0,8252
vmware-tray.exe,0.024325046584644742,0.0,8288
dptf_helper.exe,0.02090887968381316,3.6,8336
WavesSysSvc64.exe,0.05499786428998363,0.0,8364
Dell.Update.SubAgent.exe,0.19266212195328186,0.9,8380
wlanext.exe,0.011774873147547155,0.0,8472
Code.exe,4.512538422792084,0.0,8564
Copilot.exe,0.18318892154033756,0.0,8600
conhost.exe,0.04496741679392494,0.0,8668
PhoneExperienceHost.exe,0.949815539101422,0.0,8716
conhost.exe,0.04496741679392494,0.0,8720
WMIC.exe,0.04588808588776608,0.0,8748
msedgewebview2.exe,0.02275021787149543,0.0,8828
svchost.exe,0.03544576011288372,0.0,8848
Rave.exe,0.023913168305821075,0.0,8952
python.exe,0.3672742840404678,41.9,9048
TabTip.exe,0.1239995900599719,0.0,9144
conhost.exe,0.04409520396818071,0.0,9232
svchost.exe,0.028807251383608165,0.0,9248
conhost.exe,0.0452339262684579,0.0,9464
conhost.exe,0.04496741679392494,0.0,9504
DDVRulesProcessor.exe,0.024179677780354035,0.0,9512
WMIC.exe,0.045912314021814525,0.0,9828
DellSupportAssistRemedationService.exe,0.41938900037868576,0.0,9860
ServiceShell.exe,0.38147197059286003,0.0,10036
svchost.exe,0.03445240661689723,0.0,10052
WMIC.exe,0.10214581314826915,0.0,10120
unsecapp.exe,0.017008150102012558,0.0,10156
svchost.exe,0.11207934810813405,0.0,10188
conhost.exe,0.04491896052582804,0.0,10192
Code.exe,0.302706306801346,0.0,10304
taskhostw.exe,0.09468354786134626,0.6,10364
svchost.exe,0.128142600982257,0.0,10380
svchost.exe,0.05366531691731882,0.0,10496
WMIC.exe,0.10025601869248998,0.0,10516
conhost.exe,0.0450401011960703,0.0,10560
igfxEMN.exe,0.042641515925273654,0.0,10580
sqlservr.exe,0.34442715363277854,0.0,10640
conhost.exe,0.04494318865987649,0.0,10780
ai.exe,0.17197129547590476,0.0,10884
OneDrive.exe,0.205188067256331,0.0,10960
conhost.exe,0.04499164492797339,0.0,10964
CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.tmp,0.26810853138015805,0.0,10988
conhost.exe,0.045064329330118745,0.0,11004
conhost.exe,0.04494318865987649,0.0,11020
WMIC.exe,0.10221849755041451,0.0,11140
explorer.exe,1.8562384901220685,0.0,11180
WMIC.exe,0.10023179055844153,0.0,11228
ONENOTEM.EXE,0.023452833758900508,0.0,11336
ctfmon.exe,0.11813638162024677,0.0,11504
svchost.exe,0.2025229725110014,0.0,11528
CrossDeviceResume.exe,0.03852273313703699,0.0,11572
pet.exe,0.046178823496347485,0.0,11736
chrome.exe,0.06275086718548793,0.0,11880
svchost.exe,0.17318270217832732,0.0,11972
conhost.exe,0.04496741679392494,0.0,11980
WMIC.exe,0.04598499842395988,0.0,11984
Rave.exe,0.19830727718657093,4.3,12112
svchost.exe,0.041963128171917025,0.0,12196
WMIC.exe,0.0918003999095806,0.0,12272
svchost.exe,0.08041317690680866,0.0,12440
conhost.exe,0.04491896052582804,0.0,12468
conhost.exe,0.04499164492797339,0.0,12568
SearchHost.exe,0.5345210933769245,0.0,12764
StartMenuExperienceHost.exe,0.6387020697852636,0.0,12772
RuntimeBroker.exe,0.28320265889234303,0.0,12904
svchost.exe,0.04911042771621005,0.0,12936
